,Team,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year
44,North Texas,14.68,110.2,95.5,58.8,0.059,1.85,106.0,104.2,1.79,2023
45,Michigan,14.68,112.8,98.1,67.5,-0.072,9.62,109.5,99.9,0.13,2023
46,North Carolina,14.66,112.1,97.5,69.0,-0.072,7.59,109.5,101.9,7.02,2023
47,Liberty,14.51,112.7,98.1,64.5,-0.034,-2.57,103.7,106.3,1.74,2023
48,Mississippi St ,14.12,105.5,91.3,63.8,0.008,7.59,108.6,101.0,-3.31,2023
49,Ohio St,13.98,115.9,101.9,66.0,-0.12,11.32,110.5,99.2,-2.47,2023
50,Missouri ,13.92,119.3,105.4,69.1,0.11,7.73,108.1,100.4,-4.68,2023
51,New Mexico,13.84,116.1,102.2,71.6,-0.03,5.71,108.2,102.5,-0.44,2023
52,Oklahoma,13.7,111.1,97.4,65.3,-0.044,13.32,110.4,97.1,4.11,2023
53,Cincinnati,13.35,112.3,99.0,68.5,-0.032,3.98,107.5,103.5,-2.64,2023
54,N.C. Stte ,13.31,113.9,100.6,69.1,0.03,4.81,108.6,103.8,-4.91,2023
55,Oral Roberts ,13.25,115.3,102.0,70.5,0.103,-3.96,104.2,108.1,8.1,2023
56,Washington St,13.22,112.0,98.8,64.3,-0.071,9.16,109.3,100.1,5.12,2023
57,VCU ,13.15,107.2,94.0,68.0,0.017,0.47,105.1,104.7,-1.78,2023
58,Colorado,13.05,107.7,94.7,69.0,-0.078,8.56,108.5,99.9,3.78,2023
59,Villanova,12.98,113.8,100.8,63.7,-0.067,9.4,110.1,100.7,4.05,2023
60,Texas Tech,12.95,111.8,98.9,67.2,-0.08,9.81,110.1,100.3,-7.03,2023
61,UAB,12.86,112.7,99.9,70.6,-0.027,0.49,105.3,104.8,-4.44,2023
62,Florida,12.82,108.2,95.4,69.4,-0.077,9.46,110.1,100.6,5.25,2023
63,Clemson,12.67,111.1,98.4,68.2,0.016,2.7,107.7,105.0,-5.56,2023
64,UCF,12.59,110.2,97.6,64.5,-0.113,4.02,107.4,103.4,-0.29,2023
65,Drake ,12.51,109.8,97.3,66.4,0.026,-1.65,104.0,105.7,-1.72,2023
66,Yale,12.39,110.8,98.4,66.1,-0.044,-0.71,104.5,105.2,0.36,2023
67,Arizona St ,12.38,107.6,95.2,68.4,0.069,8.69,108.9,100.3,1.31,2023
68,Sam Houston St,12.28,106.6,94.3,64.4,0.052,2.17,105.9,103.7,7.27,2023
69,Seton Hall,12.23,106.7,94.5,66.5,-0.042,9.46,110.0,100.6,2.72,2023
70,Kent St ,11.9,108.3,96.4,68.1,0.019,-1.42,106.3,107.7,3.47,2023
71,Utah,11.85,107.7,95.8,66.2,-0.077,6.83,107.6,100.8,-3.66,2023
72,Charleston ,11.76,111.4,99.6,71.0,0.052,-5.71,102.3,108.0,-1.96,2023
73,Iona ,11.71,110.9,99.1,68.9,-0.006,-3.8,102.6,106.4,4.29,2023
74,BYU,11.59,109.2,97.6,69.6,-0.103,5.31,108.5,103.2,1.28,2023
75,Wisconsin,11.54,106.4,94.9,63.1,0.004,10.63,111.2,100.6,1.06,2023
76,Pittsburgh ,11.27,115.1,103.8,67.3,0.03,3.67,108.1,104.4,-2.92,2023
77,Dayton,11.2,110.0,98.8,62.4,-0.056,0.18,104.7,104.5,-1.73,2023
78,Utah Valley,10.87,107.3,96.5,70.0,0.046,2.03,106.2,104.1,5.09,2023
79,Vanderbilt,10.82,115.7,104.9,66.7,0.078,9.46,109.3,99.8,2.3,2023
80,Virginia Tech,10.21,113.9,103.7,66.6,-0.06,4.55,108.0,103.4,-3.92,2023
81,Santa Clara,10.13,111.3,101.2,70.1,0.09,4.3,108.7,104.4,1.05,2023
82,Stnford,9.76,114.1,104.4,65.8,-0.125,8.15,107.7,99.6,-0.1,2023
83,Marshall,9.74,111.3,101.5,72.1,-0.063,-2.7,103.9,106.6,-3.49,2023
84,St Johns,9.46,107.9,98.5,73.5,-0.013,6.76,108.3,101.5,-7.72,2023
85,Bradley,9.24,107.1,97.9,65.2,0.063,-1.1,103.9,105.0,0.3,2023
86,Toledo,9.12,119.6,110.5,69.6,0.042,-3.25,104.1,107.4,-1.18,2023
87,Wake Forest,8.57,112.1,103.5,69.6,-0.012,4.94,108.0,103.1,-2.2,2023
88,Furman ,8.43,114.2,105.8,68.5,0.0,-4.4,104.0,108.4,-2.07,2023
89,Hofstra,8.4,110.3,101.9,67.2,0.032,-3.37,102.9,106.3,6.89,2023
90,UNLV,8.22,107.8,99.6,69.5,0.014,5.59,107.8,102.2,-2.56,2023
91,Louisiana ,8.2,112.2,104.0,68.4,0.077,-0.27,104.2,104.5,0.26,2023
92,San Jose St,7.91,110.7,102.8,62.7,0.086,6.87,108.5,101.6,-1.09,2023
93,South Alabama,7.74,108.2,100.4,65.8,-0.111,0.91,104.9,103.9,3.82,2023
94,Nebraska,7.47,106.7,99.2,67.1,0.053,10.41,110.5,100.1,2.09,2023
95,Saint Louis,7.45,111.7,104.2,69.3,0.027,2.49,105.3,102.8,4.31,2023
96,Indiana St,7.39,110.6,103.2,70.6,-0.104,-4.5,102.1,106.6,-6.55,2023
97,Southern Miss,7.31,108.0,100.7,68.5,0.094,-0.79,104.7,105.5,-3.32,2023
98,UC Irvine,7.29,107.7,100.5,69.6,-0.045,-0.78,103.4,104.2,3.39,2023
99,San Francisco,6.95,110.1,103.2,68.6,0.019,4.05,108.2,104.1,-2.51,2023
100,James Madison,6.74,106.7,100.0,70.5,-0.053,-1.42,103.7,105.1,-4.25,2023
101,UC Santa Barbara ,6.64,111.3,104.7,65.0,0.057,-2.38,102.8,105.2,-2.69,2023
102,Wichita St,6.51,106.8,100.3,66.3,-0.049,2.79,106.3,103.5,-1.8,2023
103,Akron,6.47,110.0,103.5,65.3,0.002,-1.76,105.2,106.9,-0.52,2023
104,Colorado St,6.41,112.3,105.9,66.1,-0.055,7.41,108.4,101.0,2.19,2023
105,Washington,6.38,105.8,99.4,69.2,0.037,8.08,108.1,100.1,-0.11,2023
106,Loyola Marymount,6.32,110.0,103.7,67.1,0.079,4.35,109.0,104.6,0.43,2023
107,Tulane,6.3,110.2,103.9,73.1,0.076,1.87,105.5,103.7,-7.94,2023
108,Grand Canyon ,5.99,112.3,106.3,65.2,0.042,0.99,104.7,103.7,0.09,2023
109,Montana St ,5.75,105.4,99.6,66.5,0.082,-1.09,106.3,107.4,4.47,2023
110,Southern Utah,5.64,110.2,104.5,71.9,0.045,3.39,106.3,102.9,5.27,2023
111,Princeton ,5.57,109.1,103.5,67.5,0.024,-2.55,103.4,105.9,-4.83,2023
112,Vermont ,5.42,109.8,104.4,64.6,0.051,-3.68,103.4,107.0,5.86,2023
113,Colgate ,5.29,113.0,107.7,67.9,0.004,-7.69,100.7,108.4,-1.17,2023
114,Mississippi,5.03,106.8,101.7,66.1,-0.078,8.03,108.9,100.8,1.46,2023
115,UNC Greensboro,4.93,103.5,98.6,66.0,-0.044,-2.35,105.5,107.8,2.9,2023
116,Charlotte,4.6,108.0,103.4,60.5,-0.038,-0.75,104.5,105.3,-7.03,2023
117,Temple,4.57,107.3,102.7,66.0,0.021,5.04,106.9,101.8,1.38,2023
118,Cal St Fullerton,4.55,105.0,100.4,64.8,0.011,0.99,104.8,103.8,3.82,2023
119,Syracuse,4.46,110.4,105.9,67.5,0.002,2.88,107.5,104.6,-5.81,2023
120,Middle Tennessee,4.14,106.5,102.4,66.9,0.027,2.72,106.9,104.1,1.77,2023
121,Eastern Washington,4.08,111.5,107.5,68.5,0.064,-1.62,104.7,106.4,1.97,2023
122,Belmont,4.08,111.5,107.5,68.4,0.025,-1.47,103.9,105.3,0.85,2023
123,Butler,3.99,102.5,98.5,65.5,-0.001,9.88,110.7,100.8,1.27,2023
124,Duquesne,3.98,108.6,104.6,68.2,0.012,-1.72,104.7,106.5,-3.95,2023
125,Hawaii,3.86,102.1,98.2,64.8,-0.014,-3.09,102.9,106.0,-5.67,2023
126,Kennesaw St ,3.64,106.3,102.7,68.5,0.147,-1.52,105.1,106.7,5.05,2023
127,Troy,3.56,104.8,101.3,67.9,-0.02,-0.11,104.6,104.7,0.11,2023
128,Youngstown St,3.56,112.9,109.4,68.0,-0.01,-6.63,102.3,108.9,-5.37,2023
129,Towson,3.5,108.2,104.7,64.9,-0.048,-4.66,102.3,106.9,-3.51,2023
130,Ohio,3.41,110.9,107.4,68.4,-0.038,-2.1,105.8,107.9,0.15,2023
131,Stphen F. Austin,3.2,105.5,102.3,69.3,-0.004,0.08,105.1,105.0,-1.7,2023
132,Penn,3.14,110.3,107.2,67.0,-0.003,-0.47,104.9,105.4,-0.56,2023
133,Fresno St,2.97,103.5,100.6,64.3,-0.083,6.79,109.5,102.7,1.15,2023
134,Samford,2.94,109.3,106.3,68.4,0.002,-3.85,104.1,108.0,-1.55,2023
135,Southern Illinois,2.9,101.3,98.4,63.9,0.087,-2.0,103.8,105.8,-3.2,2023
136,UC Riverside,2.69,107.9,105.2,66.9,0.097,0.4,104.6,104.2,4.45,2023
137,UMass Lowell,2.64,107.8,105.1,68.9,0.011,-10.23,98.8,109.0,-12.66,2023
138,Fordham,2.51,103.2,100.7,69.7,0.121,-4.55,101.9,106.5,-13.52,2023
139,Davidson,2.48,107.4,104.9,65.1,-0.034,1.2,105.1,103.9,-1.4,2023
140,Seattle,2.35,102.1,99.8,69.2,0.092,1.57,106.3,104.7,1.08,2023
141,DePaul,2.27,107.9,105.6,68.8,-0.012,10.15,110.3,100.1,2.31,2023
142,Air Force,1.96,106.3,104.4,63.2,-0.057,2.39,107.0,104.6,-10.24,2023
143,Cornell,1.76,112.0,110.3,71.3,-0.005,-1.89,103.7,105.6,-4.59,2023
144,LSU,1.62,106.6,105.0,65.9,0.027,6.68,108.6,101.9,-6.2,2023
145,UNC Asheville ,1.51,104.1,102.6,68.5,0.152,-5.3,102.8,108.1,-0.57,2023
146,George Mason,1.47,102.7,101.2,66.4,0.061,-0.87,104.8,105.7,-1.79,2023
147,Utah Tech,1.46,107.9,106.4,68.6,-0.1,2.79,106.2,103.4,4.09,2023
148,Georgia,1.39,104.4,103.0,67.7,0.069,4.36,107.5,103.1,-7.05,2023
149,South Florida,1.32,105.9,104.6,68.4,-0.067,0.7,105.3,104.6,-7.03,2023
150,Missouri St,1.31,104.6,103.3,62.2,-0.021,-0.81,103.9,104.7,1.65,2023
151,Portland,1.26,111.0,109.7,69.1,-0.056,4.44,108.7,104.2,0.64,2023
152,Wyoming,1.24,107.9,106.6,65.7,-0.099,7.32,109.1,101.7,-0.15,2023
153,UC Davis,1.16,104.8,103.7,70.5,-0.028,-1.77,103.3,105.1,-0.8,2023
154,Richmond,1.09,103.7,102.6,65.4,-0.075,-0.51,105.0,105.5,-2.61,2023
155,Cal Baptist,1.04,103.7,102.7,64.1,-0.047,-0.74,104.0,104.8,-6.62,2023
156,Lipscomb,1.02,104.9,103.8,69.4,-0.001,-2.61,105.6,108.2,-2.4,2023
157,UNC Wilmington,0.86,102.4,101.6,65.4,0.133,-3.38,103.2,106.6,3.9,2023
158,Montana,0.64,108.9,108.3,63.7,0.017,-0.79,105.6,106.4,3.6,2023
159,Tarleton St,0.53,103.5,103.0,66.6,0.027,3.57,106.7,103.1,7.3,2023
160,Northern Kentucky ,0.52,103.3,102.8,62.0,0.053,-3.89,104.4,108.3,4.21,2023
161,Long Beach St,0.5,105.4,104.9,72.9,-0.012,0.27,103.8,103.5,6.53,2023
